School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
Utah 2016,977,2000,273,551,764,347,451,988,933,2226,269,367,506,371,378,802
Vanderbilt 2016,857,1879,273,519,747,313,386,960,784,2033,183,474,700,396,323,839
Villanova 2016,1086,2247,347,599,766,351,440,1034,906,2247,285,446,674,418,552,904
Virginia Commonwealth 2016,1010,2238,262,499,721,435,405,912,872,1980,202,494,728,342,535,900
Virginia 2016,964,1964,224,474,630,323,345,866,777,1849,235,433,617,287,428,760
Weber State 2016,908,1885,291,555,821,300,462,996,880,2113,202,382,571,336,382,834
West Virginia 2016,943,2102,209,654,972,558,498,822,726,1713,206,677,948,305,624,773
Wichita State 2016,867,2023,250,551,768,407,346,898,659,1705,203,545,769,276,539,878
Wisconsin 2016,816,1917,229,512,728,398,386,830,794,1862,201,444,627,314,420,807
Xavier 2016,928,2054,255,626,857,436,429,951,834,2010,253,471,675,334,474,804
Yale 2016,795,1693,190,468,699,407,398,801,678,1654,183,375,537,256,364,625
Albany (NY) 2014,765,1733,163,546,728,343,428,832,775,1848,236,388,537,329,397,733
American 2014,748,1527,207,378,535,232,464,754,671,1621,161,448,660,319,396,643
Arizona State 2014,836,1852,268,546,787,281,377,891,821,1961,175,474,732,385,394,866
Arizona 2014,996,2123,204,573,870,465,387,984,776,2041,173,500,698,369,471,812
Baylor 2014,959,2108,280,645,949,525,440,931,927,2179,258,465,688,432,394,768
Brigham Young 2014,1012,2186,177,730,1055,463,395,969,935,2175,259,577,810,382,441,871
Cal Poly 2014,754,1850,218,415,603,377,303,719,739,1703,183,502,694,341,383,809
Cincinnati 2014,805,1893,196,519,733,457,377,767,690,1745,182,424,628,366,485,712
Coastal Carolina 2014,861,1969,212,524,758,434,473,902,778,1934,264,506,730,372,440,803
Colorado 2014,814,1871,181,648,903,401,466,904,856,1986,251,424,603,319,422,779
Connecticut 2014,971,2163,287,644,829,387,457,1002,878,2241,241,532,801,492,518,886
Creighton 2014,957,1927,356,486,654,293,342,899,844,1983,234,454,654,347,338,765
Dayton 2014,935,2018,243,558,819,414,442,875,843,1936,203,589,832,353,459,805
Delaware 2014,936,2108,252,658,925,385,334,879,936,2115,219,557,803,429,418,936
Duke 2014,929,2020,316,571,783,410,328,797,848,1860,138,525,758,357,425,780
Eastern Kentucky 2014,881,1810,315,600,798,243,359,641,793,1631,204,621,880,325,574,785
Florida 2014,945,2056,255,582,871,437,418,948,806,2004,207,434,626,370,526,821
George Washington 2014,839,1812,187,550,845,394,428,835,788,1895,214,421,632,383,442,730
Gonzaga 2014,972,1963,255,562,793,343,419,948,806,2027,203,557,784,399,422,779
Harvard 2014,786,1691,184,587,811,335,365,757,680,1664,164,428,603,318,459,686
Iowa State 2014,1062,2239,301,564,814,375,380,1012,954,2272,259,511,698,403,418,926
Iowa 2014,919,1984,191,660,898,447,371,885,804,1938,229,484,686,361,439,740
Kansas State 2014,798,1840,198,486,741,406,404,774,723,1774,162,551,805,385,416,764
Kansas 2014,955,1937,189,665,935,416,463,920,815,1961,219,605,892,373,396,700
Kentucky 2014,1004,2213,203,781,1146,562,469,1045,933,2271,222,577,836,437,428,794
Louisiana 2014,988,2127,246,613,913,464,459,865,907,2032,205,614,885,400,483,814
Louisville 2014,1051,2232,288,608,920,503,391,893,786,1983,170,518,761,434,638,851
Manhattan 2014,828,1837,208,676,1019,415,468,819,739,1809,164,669,956,409,515,790
Massachusetts 2014,900,1962,177,525,769,404,446,863,843,1986,165,499,739,400,445,772
Memphis 2014,958,2009,182,516,801,427,449,841,888,2029,180,441,681,421,490,771
Mercer 2014,982,2061,290,582,791,407,420,931,812,2024,236,550,787,399,452,791
Michigan State 2014,1024,2159,307,515,728,395,430,1005,817,2058,252,605,829,375,449,833
Michigan 2014,945,1982,319,527,691,316,336,844,905,2035,201,397,543,364,398,790
Milwaukee 2014,808,1888,245,604,823,343,469,839,869,1991,204,527,707,373,445,868
Mount St. Mary's 2014,843,1923,296,522,706,328,388,725,960,1939,155,491,669,357,439,850
Nebraska 2014,719,1684,188,511,713,278,349,781,696,1659,186,507,744,319,397,802
New Mexico State 2014,936,1918,194,705,1027,428,457,918,863,2153,162,527,720,457,397,713
New Mexico 2014,847,1851,197,625,863,360,361,936,776,1995,243,453,625,368,338,747
North Carolina Central 2014,847,1832,184,635,872,403,389,794,658,1726,186,521,753,382,534,698
North Carolina State 2014,950,2060,160,501,762,422,375,817,851,1997,196,606,851,453,414,813
