Team,Team_1,win,SOS,SOS-1,efg%,def_efg%,tov%,def_tov%,orb%,drb%,ft%,def_ft%,efg%-1,def_efg%-1,tov%-1,def_tov%-1,orb%-1,drb%-1,ft%-1,def_ft%-1
Ohio_State_2012,Cincinnati_2012,1,9.07,6.28,0.521,0.464,0.128,0.178,0.332,1.004,0.27,0.699,0.48,0.462,0.124,0.166,0.399,0.753,0.189,0.685
Florida_State_2012,Cincinnati_2012,0,7.62,6.28,0.512,0.437,0.175,0.167,0.34,0.969,0.246,0.715,0.48,0.462,0.124,0.166,0.399,0.753,0.189,0.685
Murray_State_2012,Colorado_State_2012,1,-2.6,5.23,0.537,0.457,0.155,0.188,0.353,0.915,0.318,0.661,0.53,0.503,0.15,0.139,0.283,1.265,0.324,0.704
Nevada-Las_Vegas_2012,Colorado_2012,0,4.37,5.73,0.527,0.465,0.143,0.168,0.333,1.004,0.241,0.673,0.499,0.461,0.148,0.143,0.294,1.198,0.299,0.648
Baylor_2012,Colorado_2012,1,8.03,5.73,0.528,0.473,0.152,0.159,0.367,0.862,0.266,0.687,0.499,0.461,0.148,0.143,0.294,1.198,0.299,0.648
Iowa_State_2012,Connecticut_2012,1,7.32,8.07,0.526,0.486,0.138,0.136,0.316,1.081,0.266,0.698,0.5,0.446,0.14,0.127,0.361,0.887,0.229,0.735
North_Carolina_2012,Creighton_2012,1,7.07,3.41,0.498,0.45,0.116,0.146,0.358,0.896,0.254,0.681,0.578,0.496,0.136,0.12,0.284,1.262,0.276,0.675
Louisville_2012,Davidson_2012,1,9.02,-1.68,0.473,0.433,0.153,0.172,0.364,0.874,0.249,0.663,0.511,0.473,0.126,0.136,0.356,0.906,0.283,0.668
Kansas_2012,Detroit_Mercy_2012,1,9.93,-0.01,0.523,0.434,0.143,0.155,0.328,1.023,0.275,0.72,0.491,0.503,0.136,0.171,0.386,0.795,0.312,0.701
Norfolk_State_2012,Florida_2012,0,-5.39,7.33,0.49,0.463,0.161,0.152,0.355,0.909,0.275,0.671,0.548,0.478,0.127,0.147,0.353,0.918,0.237,0.693
Louisville_2012,Florida_2012,1,9.02,7.33,0.473,0.433,0.153,0.172,0.364,0.874,0.249,0.663,0.548,0.478,0.127,0.147,0.353,0.918,0.237,0.693
Ohio_State_2012,Gonzaga_2012,1,9.07,3.25,0.521,0.464,0.128,0.178,0.332,1.004,0.27,0.699,0.535,0.466,0.145,0.152,0.328,1.025,0.33,0.673
Vanderbilt_2012,Harvard_2012,1,8.04,-1.56,0.541,0.469,0.147,0.146,0.321,1.058,0.28,0.7,0.529,0.456,0.153,0.161,0.284,1.261,0.307,0.657
Kentucky_2012,Indiana_2012,1,7.93,7.8,0.538,0.42,0.123,0.134,0.327,1.031,0.302,0.694,0.552,0.481,0.142,0.153,0.339,0.975,0.34,0.702
Kentucky_2012,Iowa_State_2012,1,7.93,7.32,0.538,0.42,0.123,0.134,0.327,1.031,0.302,0.694,0.526,0.486,0.138,0.136,0.316,1.081,0.266,0.698
Syracuse_2012,Kansas_State_2012,1,8.02,7.53,0.521,0.442,0.12,0.179,0.389,0.786,0.23,0.676,0.489,0.46,0.152,0.175,0.417,0.699,0.29,0.689
Ohio_State_2012,Kansas_2012,0,9.07,9.93,0.521,0.464,0.128,0.178,0.332,1.004,0.27,0.699,0.523,0.434,0.143,0.155,0.328,1.023,0.275,0.72
North_Carolina_2012,Kansas_2012,0,7.07,9.93,0.498,0.45,0.116,0.146,0.358,0.896,0.254,0.681,0.523,0.434,0.143,0.155,0.328,1.023,0.275,0.72
Kentucky_2012,Kansas_2012,1,7.93,9.93,0.538,0.42,0.123,0.134,0.327,1.031,0.302,0.694,0.523,0.434,0.143,0.155,0.328,1.023,0.275,0.72
Duke_2012,Lehigh_2012,0,8.4,-5.14,0.528,0.471,0.13,0.141,0.352,0.919,0.316,0.689,0.507,0.467,0.123,0.162,0.35,0.93,0.291,0.705
New_Mexico_2012,Long_Beach_State_2012,1,3.34,0.87,0.531,0.44,0.15,0.167,0.325,1.039,0.279,0.675,0.527,0.475,0.141,0.174,0.343,0.959,0.281,0.694
Michigan_State_2012,Long_Island_University_2012,1,9.82,-5.1,0.527,0.433,0.146,0.149,0.323,1.05,0.264,0.703,0.532,0.494,0.158,0.142,0.339,0.973,0.363,0.694
Michigan_State_2012,Louisville_2012,0,9.82,9.02,0.527,0.433,0.146,0.149,0.323,1.05,0.264,0.703,0.473,0.433,0.153,0.172,0.364,0.874,0.249,0.663
Kentucky_2012,Louisville_2012,1,7.93,9.02,0.538,0.42,0.123,0.134,0.327,1.031,0.302,0.694,0.473,0.433,0.153,0.172,0.364,0.874,0.249,0.663
Ohio_State_2012,Loyola_(MD)_2012,1,9.07,-2.72,0.521,0.464,0.128,0.178,0.332,1.004,0.27,0.699,0.472,0.478,0.149,0.164,0.412,0.714,0.309,0.689
Florida_2012,Marquette_2012,1,7.33,7.5,0.548,0.478,0.127,0.147,0.353,0.918,0.237,0.693,0.501,0.454,0.139,0.176,0.36,0.888,0.295,0.685
Wisconsin_2012,Montana_2012,1,8.24,-3.39,0.501,0.425,0.116,0.141,0.314,1.093,0.227,0.683,0.52,0.454,0.145,0.17,0.301,1.159,0.285,0.7
Marquette_2012,Murray_State_2012,1,7.5,-2.6,0.501,0.454,0.139,0.176,0.36,0.888,0.295,0.685,0.537,0.457,0.155,0.188,0.353,0.915,0.318,0.661
Indiana_2012,New_Mexico_State_2012,1,7.8,0.08,0.552,0.481,0.142,0.153,0.339,0.975,0.34,0.702,0.515,0.481,0.147,0.16,0.383,0.805,0.346,0.675
Louisville_2012,New_Mexico_2012,1,9.02,3.34,0.473,0.433,0.153,0.172,0.364,0.874,0.249,0.663,0.531,0.44,0.15,0.167,0.325,1.039,0.279,0.675
