,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
166,Miami (OH)_1997,30,21,9,.700,9.00,0.63,,13,5,,,,,,,,2201,1950,,,805,1701,.473,167,455,.367,424,611,.694,377,1113,441,212,86,421,522
171,Minnesota_1997,35,31,4,.886,23.35,9.20,,16,2,,,,,,,,2741,2218,,,1007,2104,.479,164,474,.346,563,829,.679,479,1372,561,319,111,511,732
174,Mississippi_1997,29,20,9,.690,11.34,5.69,,11,5,,,,,,,,2001,1841,,,726,1665,.436,141,462,.305,408,618,.660,420,1056,392,219,103,406,551
182,Montana_1997,32,21,11,.656,0.54,-3.17,,11,5,,,,,,,,2339,2192,,,870,1858,.468,155,392,.395,444,703,.632,438,1216,484,262,92,533,599
186,Murray State_1997,30,20,10,.667,-4.24,-8.17,,12,6,,,,,,,,2359,2174,,,839,1876,.447,192,535,.359,489,656,.745,413,1172,461,217,69,375,607
187,Navy_1997,29,20,9,.690,-3.56,-7.04,,10,2,,,,,,,,2097,1956,,,769,1777,.433,149,442,.337,410,602,.681,456,1131,458,243,51,450,645
193,New Mexico_1997,33,25,8,.758,14.67,3.67,,11,5,,,,,,,,2502,2097,,,855,1781,.480,245,656,.373,547,760,.720,370,1180,528,232,131,428,536
204,North Carolina_1997,35,28,7,.800,22.80,12.09,,11,5,,,,,,,,2709,2334,,,1018,2124,.479,188,506,.372,485,713,.680,528,1455,632,261,142,495,547
217,Oklahoma_1997,30,19,11,.633,13.96,5.03,,9,7,,,,,,,,2228,1960,,,751,1741,.431,194,552,.351,532,735,.724,428,1054,398,262,97,425,637
218,Old Dominion_1997,33,22,11,.667,3.73,-0.45,,10,6,,,,,,,,2343,2205,,,842,1894,.445,175,547,.320,484,731,.662,452,1286,491,265,233,502,585
224,Pacific_1997,30,24,6,.800,8.68,-2.43,,12,4,,,,,,,,2186,1800,,,763,1617,.472,246,637,.386,414,622,.666,334,1038,499,205,79,400,530
232,Princeton_1997,28,24,4,.857,7.18,-3.01,,14,0,,,,,,,,1813,1496,,,631,1262,.500,244,651,.375,307,429,.716,164,705,394,202,49,326,502
