Table Names-1,Table Names,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Boise State 2008,994,1956,271,508,768,335,1218,534
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Brigham Young 2008,906,1970,285,483,737,365,1351,492
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Butler 2008,776,1729,319,468,635,308,1016,352
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Cal State Fullerton 2008,974,2060,285,467,665,391,1182,445
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Clemson 2008,1000,2191,271,422,677,536,1305,505
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Connecticut 2008,868,1880,168,652,905,449,1383,451
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Coppin State 2008,775,1940,147,515,721,409,1158,539
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Cornell 2008,758,1562,228,392,515,258,939,381
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Davidson 2008,1032,2199,328,411,573,417,1302,426
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Drake 2008,816,1829,310,498,656,399,1128,390
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Duke 2008,964,2084,308,594,852,426,1255,462
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,George Mason 2008,827,1778,205,497,707,340,1170,406
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Georgetown 2008,855,1744,269,388,593,335,1190,458
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Georgia 2008,840,1956,204,430,633,451,1295,505
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Gonzaga 2008,892,1838,220,520,730,369,1235,473
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Indiana 2008,839,1814,221,577,760,386,1247,449
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Kansas State 2008,916,2067,210,532,774,539,1362,501
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Kansas 2008,1176,2314,271,598,852,482,1547,529
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Kent State 2008,839,1809,202,532,745,385,1166,516
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Kentucky 2008,735,1566,182,472,644,301,1038,490
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Louisville 2008,932,2011,272,475,734,413,1338,491
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Marquette 2008,929,2082,246,554,785,474,1287,451
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Maryland-Baltimore County 2008,869,1928,248,464,640,371,1126,318
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Memphis 2008,1143,2454,302,608,991,565,1620,470
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Miami (FL) 2008,867,1985,236,572,766,433,1293,454
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Michigan State 2008,949,1976,179,487,661,440,1330,490
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Mississippi State 2008,885,1922,235,484,749,410,1385,509
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Mississippi Valley State 2008,698,1755,147,493,727,389,1107,473
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Mount St. Mary's 2008,822,1856,204,505,718,345,1152,486
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Nevada-Las Vegas 2008,844,1999,264,488,653,356,1209,379
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,North Carolina 2008,1250,2564,216,738,975,605,1695,560
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Notre Dame 2008,914,2015,274,506,686,436,1371,429
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Oklahoma 2008,831,1880,220,496,728,391,1240,451
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Oral Roberts 2008,785,1783,223,489,730,371,1182,431
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Oregon 2008,858,1788,279,455,656,327,1093,402
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Pittsburgh 2008,997,2185,225,512,768,533,1399,445
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Portland State 2008,846,1822,294,452,668,381,1129,484
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Purdue 2008,806,1900,253,502,705,389,1124,436
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Saint Joseph's 2008,859,1800,247,519,715,337,1086,432
