School,SOS,FG,FGA,3P,FT,FTA,ORB,DRB,TOV,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_DRB,opp_TOV
North Carolina-Asheville 2011,-2.89,881,1950,168,576,810,400,813,506,803,1925,218,509,747,440,806,592
North Carolina 2011,10.15,1044,2317,190,590,878,525,1053,493,948,2339,267,382,580,454,889,526
Northern Colorado 2011,-2.24,731,1708,254,571,742,376,774,454,682,1660,238,503,711,305,690,443
Notre Dame 2011,8.43,843,1832,273,599,827,371,890,364,815,1996,234,363,511,372,739,351
Oakland 2011,0.1,1052,2137,287,601,834,451,915,473,984,2217,233,489,678,430,762,423
Ohio State 2011,8.38,1017,2059,285,535,763,419,858,375,838,1976,232,300,407,341,755,552
Old Dominion 2011,1.76,803,1828,166,459,687,524,831,424,717,1774,245,305,488,326,631,392
Penn State 2011,11.45,767,1748,216,394,544,337,731,358,768,1747,235,355,509,316,709,365
Pittsburgh 2011,7.85,886,1866,202,540,805,484,875,397,735,1850,199,404,598,350,643,378
Princeton 2011,-1.61,788,1696,193,446,609,315,790,389,721,1701,148,427,597,289,686,385
Purdue 2011,8.69,875,1957,235,481,673,380,827,354,770,1858,169,394,565,349,794,478
Richmond 2011,2.79,922,2007,287,446,649,344,878,383,832,2053,188,413,601,441,859,454
Saint Peter's 2011,-1.08,713,1782,197,446,693,384,825,511,683,1818,175,501,765,431,812,484
San Diego State 2011,6.36,991,2141,223,455,653,472,924,402,802,2027,194,394,547,381,765,460
Southern California 2011,7.97,813,1832,204,422,648,340,813,390,741,1810,191,458,653,324,798,404
St. John's (NY) 2011,10.01,807,1773,143,556,783,354,714,408,739,1703,253,480,684,354,735,530
Syracuse 2011,8.79,936,1983,222,474,713,429,879,433,788,2000,244,396,594,442,740,490
Temple 2011,4.23,868,1943,206,458,656,374,844,368,790,1908,187,357,504,340,792,447
Tennessee 2011,8.73,837,1941,175,527,770,464,815,454,785,1878,230,496,704,388,765,476
Texas A&M 2011,5.94,758,1719,181,557,799,412,781,426,702,1703,179,426,619,321,667,441
Texas-San Antonio 2011,-4.93,802,1871,234,546,774,362,824,461,813,1941,254,483,695,413,827,480
Texas 2011,7.96,954,2099,201,592,905,494,958,425,816,2108,162,444,648,423,800,461
UCLA 2011,7.93,830,1824,173,549,808,405,860,502,821,1964,176,436,648,396,720,410
Utah State 2011,0.5,840,1788,206,563,764,363,903,402,696,1815,186,417,616,319,688,412
Vanderbilt 2011,6.86,848,1853,263,622,837,370,885,441,848,2063,203,402,577,419,753,406
Villanova 2011,8.23,796,1819,210,582,769,402,821,392,739,1823,210,471,665,356,720,395
Virginia Commonwealth 2011,3.78,968,2228,339,589,824,428,864,452,971,2200,222,509,751,496,959,584
Washington 2011,7.74,1061,2260,305,480,712,488,879,426,844,2017,183,603,887,412,807,515
West Virginia 2011,11.03,783,1826,206,531,747,469,758,397,752,1827,172,458,658,417,699,393
Wisconsin 2011,9.42,798,1808,278,436,533,355,733,258,705,1647,179,403,542,273,735,329
Wofford 2011,-1.21,883,1853,197,539,778,372,736,404,796,1787,188,533,742,353,720,452
Xavier 2011,4.41,784,1700,173,565,756,328,802,386,707,1743,208,445,610,308,683,401
Arkansas-Pine Bluff 2010,-7.68,725,1778,141,575,861,422,864,569,698,1720,170,621,938,321,765,473
Baylor 2010,8.03,993,2040,255,530,731,443,965,491,816,2136,249,481,708,470,708,435
Brigham Young 2010,3,1025,2120,292,650,823,367,965,417,836,2049,220,500,733,372,809,565
Butler 2010,5.08,845,1911,260,661,896,353,888,456,805,1936,194,454,669,335,807,529
UC-Santa Barbara 2010,-1.09,674,1522,205,475,698,268,716,460,671,1611,198,432,647,341,710,458
University of California 2010,8.26,966,2028,228,543,717,395,846,421,866,1993,195,460,663,381,742,447
Clemson 2010,7.9,851,1878,216,432,654,420,758,480,746,1768,148,425,626,381,731,551
Cornell 2010,-0.91,913,1894,326,393,538,349,800,414,745,1777,197,467,658,335,707,463
Duke 2010,9.21,1049,2375,301,682,899,569,991,429,884,2204,158,515,750,468,842,569
East Tennessee State 2010,-1.47,855,1978,177,537,815,445,832,519,801,1917,260,500,756,425,825,582
Florida State 2010,6.79,783,1734,186,431,669,406,805,528,660,1751,203,409,609,385,659,513
Florida 2010,7.16,890,2006,203,472,671,455,810,423,841,1952,209,367,540,396,774,465
Georgetown 2010,9.56,905,1815,212,478,672,333,799,473,788,1890,216,454,632,380,673,445
Georgia Tech 2010,9.02,948,2064,213,512,779,464,966,574,818,2129,240,489,734,482,777,547
Gonzaga 2010,3.83,912,1856,182,608,916,358,928,444,818,2006,216,439,677,377,757,442
Houston 2010,3.48,958,2282,290,545,768,440,745,315,929,2016,197,569,797,469,1011,585
Kansas State 2010,10.28,981,2182,253,734,1098,559,878,529,853,2037,209,669,955,451,826,624
Kansas 2010,8.25,1033,2111,262,609,871,468,989,470,811,2142,229,461,672,460,751,502
Kentucky 2010,6.82,1066,2228,231,649,971,538,1046,538,875,2314,245,473,688,488,789,531
Lehigh 2010,-7.79,842,1853,220,574,799,339,862,429,834,1954,236,427,603,360,799,451
Louisville 2010,7.99,876,1960,262,491,700,478,739,453,786,1833,205,527,751,432,724,505
Marquette 2010,8.23,861,1890,274,489,660,343,728,353,828,1841,173,369,542,358,758,488
Maryland 2010,7.95,966,2052,195,502,689,421,849,383,808,2052,221,417,602,490,762,499
Michigan State 2010,8.17,974,2068,187,523,764,487,939,514,829,2043,248,455,642,373,736,459
Minnesota 2010,7.32,912,1949,246,463,661,375,862,427,779,1946,250,434,638,413,765,496
Missouri 2010,6.36,926,2104,258,517,714,441,759,432,775,1890,185,517,736,468,830,659
Montana 2010,-2.35,791,1636,210,436,603,283,765,390,690,1654,181,399,609,318,643,404
Morgan State 2010,-6.15,960,2239,205,688,983,568,920,499,902,2134,180,622,921,488,863,529
Murray State 2010,-3.89,978,1961,226,571,821,439,880,527,761,1967,195,458,660,424,667,603
Nevada-Las Vegas 2010,4.82,899,1950,231,456,637,337,812,395,693,1738,197,585,827,360,812,535
New Mexico State 2010,1.66,919,1997,287,537,767,358,854,437,954,2127,262,469,680,441,841,452
New Mexico 2010,3.84,887,2023,273,608,909,458,889,387,823,1922,255,451,673,331,834,475
North Texas 2010,-4.72,798,1748,179,662,921,364,856,485,846,1953,169,442,627,366,728,420
Northern Iowa 2010,4.27,747,1741,233,489,645,333,797,372,693,1705,204,339,491,292,750,425
Notre Dame 2010,6.22,918,1953,261,538,744,402,848,362,873,2008,233,414,558,372,756,361
Oakland 2010,-2.96,920,2053,206,630,876,477,867,485,935,2065,190,444,661,381,793,461
Ohio State 2010,7.37,983,1999,276,498,716,325,909,413,826,2015,245,377,531,373,801,529
Ohio 2010,-0.03,925,2153,278,635,883,443,928,473,905,2165,222,537,767,472,925,566
Oklahoma State 2010,6.97,839,1861,274,485,679,327,842,418,770,1835,227,476,682,326,796,440
Old Dominion 2010,1.78,922,2061,166,405,625,540,854,457,752,1867,196,369,555,369,733,509
Pittsburgh 2010,7.39,809,1811,181,537,775,420,849,421,754,1883,172,421,637,385,714,367
Purdue 2010,8.81,867,1957,187,546,755,351,819,381,737,1849,184,486,680,381,844,549
Richmond 2010,3.43,868,1943,250,441,630,304,835,384,761,1927,181,493,698,462,865,528
Robert Morris 2010,-6.15,815,1868,197,572,859,412,815,520,733,1800,221,619,861,392,780,549
Saint Mary's (CA) 2010,2.2,944,1950,284,496,652,370,874,394,856,2023,144,402,606,390,706,369
Sam Houston State 2010,-3.37,909,1963,287,511,727,410,837,442,789,1834,204,502,737,342,765,510
San Diego State 2010,4.21,875,1846,179,460,741,444,813,453,745,1843,225,386,557,375,660,453
Siena 2010,-1.17,930,2048,160,534,793,442,868,418,870,2032,209,277,434,364,804,517
Syracuse 2010,7.21,1042,2021,244,504,745,417,920,532,856,2151,261,351,551,480,708,547
Temple 2010,4.27,851,1942,204,367,533,377,904,358,727,1897,176,357,511,346,797,395
Tennessee 2010,7.75,991,2174,218,520,775,441,912,490,804,2031,230,575,827,435,876,599
Texas A&M 2010,9.8,813,1846,210,590,892,400,852,417,761,1854,206,464,660,357,803,473
Texas-El Paso 2010,1.96,891,1879,201,501,744,323,870,435,707,1804,196,521,780,376,794,519
Texas 2010,7.38,1005,2158,195,556,878,503,922,464,843,2091,191,504,737,435,791,516
Utah State 2010,1.23,941,1928,242,435,574,362,876,358,757,1867,198,385,543,322,708,392
Vanderbilt 2010,7.86,859,1829,203,616,854,361,836,448,819,1992,209,427,678,452,730,445
Vermont 2010,-6.69,826,1884,166,639,930,433,858,487,798,1991,196,475,688,435,761,479
Villanova 2010,7.75,899,1962,252,650,861,441,831,452,759,1855,240,646,910,390,728,504
Wake Forest 2010,8.85,811,1869,134,501,762,463,843,471,738,1890,179,500,728,429,729,426
Washington 2010,7.49,1004,2212,191,652,905,476,888,460,860,2041,178,621,911,421,814,578
West Virginia 2010,10.26,942,2190,257,611,868,585,882,451,836,2007,209,533,785,417,807,509
Winthrop 2010,-7.31,735,1934,124,448,696,450,826,402,695,1749,180,455,677,357,871,507
Wisconsin 2010,7.66,776,1750,246,416,568,320,736,289,673,1586,138,394,572,263,739,396
Wofford 2010,-2.57,825,1873,203,555,830,402,841,416,765,1836,169,435,646,345,795,491
Xavier 2010,5.94,961,2082,250,621,873,444,971,452,884,2158,201,464,709,415,816,449
