Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
255,Robert Morris,-6.11,794,1932,242,442,663,392,1176,489
256,Rutgers,6.83,830,2042,145,409,635,447,1316,397
257,Sacramento State,-0.74,800,1802,202,355,519,266,1024,385
258,Sacred Heart,-6.98,796,1823,179,358,540,373,1238,460
259,Saint Francis (PA),-6.71,860,1845,250,480,630,274,1046,359
260,Saint Joseph's,1.90,826,1953,255,464,675,289,1201,320
261,Saint Louis,2.92,731,1734,185,523,802,387,1188,420
262,Saint Mary's (CA),0.33,1014,1970,284,460,598,298,1213,357
263,Saint Peter's,-4.36,740,1762,253,352,488,292,1050,416
264,Sam Houston State,-4.80,900,2115,257,514,719,430,1356,473
265,Samford,-3.37,870,1846,289,454,594,263,974,435
266,San Diego State NCAA,3.91,902,1967,239,502,702,364,1250,394
267,San Diego,0.49,802,1775,289,492,692,250,1117,445
268,San Francisco,1.63,952,2256,333,448,663,381,1393,464
269,San Jose State,2.91,705,1618,178,386,558,277,1073,488
270,Santa Clara,0.61,718,1674,232,380,524,243,887,350
271,Savannah State,-5.06,940,2350,391,483,694,423,1222,448
272,Seattle,-3.09,881,1975,312,515,698,365,1298,484
273,Seton Hall NCAA,10.11,971,2073,250,509,729,414,1302,432
274,Siena,-2.99,752,1790,220,442,652,352,1146,483
275,South Alabama,-2.87,752,1785,252,472,674,300,1165,479
276,South Carolina State,-8.78,829,1948,205,492,706,363,1092,444
277,South Carolina Upstate,-4.35,881,2045,328,334,460,335,1062,370
278,South Carolina,9.23,756,1899,240,561,800,415,1228,455
279,South Dakota State NCAA,-0.38,1003,2147,374,578,759,308,1360,353
280,South Dakota,-2.60,1017,2136,243,555,740,353,1319,388
281,South Florida,0.05,707,1690,207,405,560,309,1065,449
282,Southeast Missouri State,-4.88,796,1729,289,474,650,273,1005,388
283,Southeastern Louisiana,-6.20,867,1911,250,455,692,357,1158,468
284,Southern California,6.29,1022,2174,296,458,649,370,1252,383
285,SIU Edwardsville,-3.36,734,1759,212,410,580,324,1024,409
286,Southern Illinois,0.65,839,1817,215,415,596,281,1079,420
287,Southern Methodist,3.66,814,1835,281,384,560,365,1109,383
288,Southern Mississippi,1.31,872,1958,254,403,573,254,1035,333
289,Southern Utah,-0.88,824,1887,253,515,698,268,1084,408
